Number,Title,Ratingstatus,Realeasedate,metascore,userscore
1,Citizen Kane, Approved,"September 4, 1941",100,8.4
2,The Godfather, R,"March 11, 1972",100,9.2
3,Rear Window, TV-G,"September 1, 1954",100,8.8
4,Casablanca, TV-PG,"January 23, 1943",100,8.9
5,Boyhood, R,"July 11, 2014",100,7.5
6,Three Colors: Red, R,"November 23, 1994",100,8.6
7,Vertigo, PG,"May 28, 1958",100,8.7
8,Notorious, Approved,"September 6, 1946",100,8
9,Singin' in the Rain, G,"April 11, 1952",99,8.7
10,City Lights, Passed,"March 7, 1931",99,8.9
11,Moonlight, Not Rated,"October 21, 2016",99,7.1
12,Intolerance, Not Rated,"September 5, 1916",99,7.4
13,Pinocchio, Passed,"February 23, 1940",99,8.1
14,Touch of Evil, PG-13,"February 1, 1958",99,8.6
15,The Souvenir: Part II, R,TBA,98,tbd
16,The Lady Vanishes, Approved,"November 1, 1938",98,7.8
17,The Treasure of the Sierra Madre, TV-PG,"January 24, 1948",98,8.5
18,Pan's Labyrinth, R,"December 29, 2006",98,8.7
19,Some Like It Hot, Approved,"March 29, 1959",98,8.4
20,North by Northwest, TV-G,"August 6, 1959",98,8.2
21,Hoop Dreams, PG-13,"October 14, 1994",98,8
22,Rashomon, Not Rated,"December 26, 1951",98,8.6
23,All About Eve, TV-PG,"October 27, 1950",98,8.8
24,Jules and Jim, Not Rated,"April 23, 1962",97,6.7
25,The Wild Bunch, R,"June 18, 1969",97,7.9
26,My Left Foot, R,"March 30, 1990",97,8.5
27,The Third Man, Approved,"September 3, 1949",97,8.5
28,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb, GP,"January 29, 1964",97,8.4
29,"Quo Vadis, Aida?", Approved,"March 5, 2021",97,8.4
30,Gone with the Wind, TV-PG,"January 17, 1940",97,8.5
31,"4 Months, 3 Weeks and 2 Days", Not Rated,"January 23, 2008",97,7.9
32,Psycho, M,"September 8, 1960",97,9
33,Battleship Potemkin, Not Rated,"December 5, 1926",97,8.6
34,A Streetcar Named Desire, M/PG,"September 19, 1951",97,8.3
35,The Maltese Falcon, TV-PG,"October 18, 1941",97,8
36,American Graffiti, PG,"August 11, 1973",97,7.8
37,Dumbo, Approved,"October 31, 1941",96,7.7
38,Roma, Not Rated,"November 21, 2018",96,7.7
39,Ran, R,"December 20, 1985",96,8.4
40,"Summer of Soul (...Or, When the Revolution Could Not Be Televised)", Not Rated,"July 2, 2021",96,6.9
41,The Shop Around the Corner, Passed,"January 12, 1940",96,6.9
42,12 Angry Men, TV-PG,"April 1, 1957",96,9
43,Manchester by the Sea, R,"November 18, 2016",96,8.2
44,Rosemary's Baby, Approved,"June 12, 1968",96,8.2
45,12 Years a Slave, R,"October 18, 2013",96,8
46,Killer of Sheep, Not Rated,"March 30, 2007",96,6.9
47,Nashville, R,"June 11, 1975",96,8.8
48,Ratatouille, G,"June 29, 2007",96,8.6
49,Parasite, Not Rated,"October 11, 2019",96,8.9
50,Rocks, TV-MA,"February 1, 2021",96,6.6
51,Don't Look Now, R,"December 9, 1973",96,7.3
52,The Grapes of Wrath, Approved,"March 15, 1940",96,8.9
53,Children of Paradise (1945), Not Rated,"March 9, 2012",96,8
54,Mean Streets, R,"October 14, 1973",96,7.4
55,The Lady Eve, Passed,"March 21, 1941",96,7.2
56,Gravity, PG-13,"October 4, 2013",96,7.8
57,Fantasia, Approved,"November 13, 1940",96,8.3
58,Spirited Away, PG,"September 20, 2002",96,9
59,Beauty and the Beast, G,"November 22, 1991",95,8.5
60,Small Axe: Lovers Rock, Not Rated,"November 27, 2020",95,6.1
61,Toy Story, TV-G,"November 22, 1995",95,8.9
62,The Bride of Frankenstein, TV-PG,"May 6, 1935",95,8.4
63,The Social Network, PG-13,"October 1, 2010",95,8.2
64,My Fair Lady, G,"December 25, 1964",95,7.7
65,Portrait of a Lady on Fire, R,"December 6, 2019",95,8.6
66,I Am Not Your Negro, PG-13,"December 9, 2016",95,5.4
67,Woodstock, R,"March 26, 1970",95,tbd
68,Double Indemnity, Passed,"July 6, 1944",95,8.4
69,Snow White and the Seven Dwarfs, G,"February 4, 1938",95,8.2
70,The Hurt Locker, R,"June 26, 2009",95,7.3
71,Anatomy of a Murder, TV-PG,"July 1, 1959",95,8.1
72,Zero Dark Thirty, R,"December 19, 2012",95,7
73,Collective, Not Rated,"November 20, 2020",95,7.9
74,A Separation, PG-13,"December 30, 2011",95,8.9
75,WALL-E, G,"June 27, 2008",95,8.9
76,Carol, R,"November 20, 2015",94,8
77,Before Midnight, R,"May 24, 2013",94,8.3
78,Amour, PG-13,"December 19, 2012",94,8.1
79,Dunkirk, PG-13,"July 21, 2017",94,8.3
80,The Man Who Shot Liberty Valance, Approved,"April 22, 1962",94,8.6
81,The Searchers, Passed,"May 26, 1956",94,7.5
82,45 Years, Not Rated,"December 23, 2015",94,7.3
83,Taxi Driver, R,"February 7, 1976",94,7.6
84,The Servant, Unrated,"March 16, 1964",94,7.9
85,Pulp Fiction, R,"October 14, 1994",94,9
86,The Manchurian Candidate, Approved,"October 24, 1962",94,8.1
87,Mr. Turner, R,"December 19, 2014",94,6.9
88,The Irishman, R,"November 1, 2019",94,8.1
89,Amazing Grace,ll,"November 23, 2018",94,8.4
90,Grave of the Fireflies (1988), TV-14,"July 26, 1989",94,8.9
91,The Wild Child, G,"September 11, 1970",94,tbd
92,Shadow of a Doubt, TV-PG,"January 15, 1943",94,8.6
93,Inside Out, PG,"June 19, 2015",94,8.7
94,Sideways, R,"October 22, 2004",94,7.1
95,Schindler's List, R,"December 15, 1993",94,8.8
96,Meet Me in St. Louis, Passed,"January 1, 1945",94,6
97,The Apartment, TV-PG,"June 15, 1960",94,8.7
98,Apocalypse Now, R,"August 15, 1979",94,8.8
99,The Gunfighter, TV-PG,"June 23, 1950",94,7.4
100,We Were Here, Not Rated,"September 9, 2011",94,6.9
101,Lady Bird, R,"November 3, 2017",94,7.6
102,Chimes at Midnight, Not Rated,"March 17, 1967",94,tbd
103,The Lord of the Rings: The Return of the King, PG-13,"December 17, 2003",94,9.1
104,Carlos, Not Rated,"October 15, 2010",94,7.9
105,Marriage Story, Not Rated,"November 6, 2019",94,8.2
106,The French Connection, R,"October 7, 1971",94,8.5
107,La La Land, PG-13,"December 9, 2016",94,8.4
108,Faces Places, Not Rated,"October 6, 2017",94,6.9
109,"Crouching Tiger, Hidden Dragon", PG-13,"December 8, 2000",94,8.1
110,Nomadland, R,"December 4, 2020",93,7.3
111,Call Me by Your Name, R,"November 24, 2017",93,8
112,The Magnificent Ambersons, TV-PG,"July 10, 1942",93,8.4
113,Reversal of Fortune, R,"October 17, 1990",93,8.1
114,David Byrne’s American Utopia, Not Rated,"October 17, 2020",93,7
115,Shoplifters, Not Rated,"November 23, 2018",93,8.4
116,Shoah: Four Sisters, Not Rated,"November 14, 2018",93,tbd
117,The 39 Steps, TV-G,"August 1, 1935",93,8
118,Duck Soup, Passed,"November 17, 1933",93,7.8
119,Days of Heaven, PG,"September 13, 1978",93,8.5
120,Toni Erdmann, R,"December 25, 2016",93,7
121,Yi Yi, Not Rated,"October 6, 2000",93,8.5
122,Petite Maman, Not Rated,TBA,93,tbd
